0.0000,0.0061,0.0216,0.0079,0.0045,0.0096,0.0175,0.0076,0.0117,0.0095
0.0082,0.0000,0.0067,0.0060,0.0171,0.0156,0.0071,0.0240,0.0045,0.0055
0.0117,0.0078,0.0000,0.0066,0.0033,0.0020,0.0047,0.0056,0.0087,0.0010
0.0031,0.0067,0.0035,0.0000,0.0017,0.0085,0.0025,0.0081,0.0061,0.0051
0.0027,0.0108,0.0052,0.0016,0.0000,0.0054,0.0047,0.0089,0.0060,0.0078
0.0029,0.0065,0.0011,0.0089,0.0032,0.0000,0.0096,0.0050,0.0043,0.0083
0.0086,0.0079,0.0060,0.0039,0.0055,0.0159,0.0000,0.0016,0.0095,0.0018
0.0032,0.0144,0.0044,0.0050,0.0129,0.0056,0.0019,0.0000,0.0042,0.0033
0.0015,0.0017,0.0013,0.0018,0.0018,0.0026,0.0017,0.0010,0.0000,0.0018
0.0050,0.0021,0.0032,0.0068,0.0115,0.0064,0.0013,0.0045,0.0076,0.0000
